"Player Name","Season","TAR","RECPT","REYD","RETD","REFD","REAVG","FPTS"
"Nico Collins","2021","60","33","446","1","22","13","50"
"Rondale Moore","2021","64","54","435","1","18","8","54"
"Devante Parker","2021","73","40","515","2","29","12","63"
"Devante Parker","2020","103","63","793","4","45","12","103"
"Devante Parker","2019","128","72","1202","9","58","16","174"
"Devante Parker","2018","47","24","309","1","14","12","36"
"Devante Parker","2017","96","57","670","1","33","11","73"
"Devante Parker","2016","89","56","744","4","34","13","98"
"Devante Parker","2015","51","26","494","3","20","19","67"
"Adam Thielen","2021","95","67","726","10","37","10","132"
"Adam Thielen","2020","108","74","925","14","52","12","179"
"Adam Thielen","2019","48","30","418","6","18","13","83"
"Adam Thielen","2018","153","113","1373","9","74","12","194"
"Adam Thielen","2017","143","91","1276","4","59","14","148"
"Adam Thielen","2016","92","69","967","5","44","14","125"
"Adam Thielen","2015","18","12","144","0","5","12","22"
"Adam Thielen","2014","14","8","137","1","7","17","19"
"Adam Thielen","2013","0","0","0","0","0","0","0"
"Elijah Moore","2021","77","43","538","5","24","12","94"
"Terry Mclaurin","2021","130","77","1053","5","47","13","136"
"Terry Mclaurin","2020","134","87","1118","4","51","12","136"
"Terry Mclaurin","2019","93","58","919","7","43","15","133"
"Mike Williams","2021","129","76","1146","9","51","15","170"
"Mike Williams","2020","85","48","756","5","35","15","105"
"Mike Williams","2019","90","49","1001","2","41","20","112"
"Mike Williams","2018","66","43","664","10","36","15","136"
"Mike Williams","2017","23","11","95","0","7","8","9"
"Michael Pittman","2021","129","88","1082","6","54","12","150"
"Michael Pittman","2020","61","40","503","1","22","12","58"
"Gabe Davis","2021","63","35","549","6","29","15","90"
"Gabe Davis","2020","62","35","599","7","27","17","101"
"Robert Woods","2021","69","45","556","4","34","12","91"
"Robert Woods","2020","129","90","936","6","46","10","154"
"Robert Woods","2019","139","90","1134","2","54","12","142"
"Robert Woods","2018","130","86","1219","6","66","14","178"
"Robert Woods","2017","85","56","781","5","36","13","107"
"Robert Woods","2016","74","51","613","1","32","12","67"
"Robert Woods","2015","80","47","552","3","27","11","71"
"Robert Woods","2014","104","65","699","5","35","10","99"
"Robert Woods","2013","86","40","587","3","26","14","79"
"Josh Palmer","2021","49","33","353","4","18","10","59"
"Darnell Mooney","2021","140","81","1055","4","49","13","138"
"Darnell Mooney","2020","98","61","631","4","33","10","91"
"Courtland Sutton","2021","98","58","776","2","35","13","91"
"Courtland Sutton","2020","6","3","66","0","2","22","6"
"Courtland Sutton","2019","125","72","1112","6","50","15","149"
"Courtland Sutton","2018","84","42","704","4","30","16","94"
"Christian Kirk","2021","103","77","982","5","44","12","130"
"Christian Kirk","2020","79","48","621","6","30","12","98"
"Christian Kirk","2019","107","68","709","3","31","10","99"
"Christian Kirk","2018","68","43","590","3","21","13","80"
"Davante Adams","2021","169","123","1553","11","84","12","221"
"Davante Adams","2020","149","115","1374","18","73","11","243"
"Davante Adams","2019","127","83","997","5","54","12","129"
"Davante Adams","2018","169","111","1386","13","64","12","218"
"Davante Adams","2017","118","74","885","10","45","11","148"
"Davante Adams","2016","121","75","997","12","45","13","171"
"Davante Adams","2015","93","50","483","1","20","9","56"
"Davante Adams","2014","66","38","446","3","23","11","62"
"Deebo Samuel","2021","121","77","1405","6","51","18","262"
"Deebo Samuel","2020","44","33","391","1","19","11","47"
"Deebo Samuel","2019","81","57","802","3","32","14","131"
"Justin Jefferson","2021","167","108","1616","10","75","14","221"
"Justin Jefferson","2020","125","88","1400","7","58","15","186"
"Diontae Johnson","2021","169","107","1161","8","59","10","167"
"Diontae Johnson","2020","144","88","923","7","45","10","133"
"Diontae Johnson","2019","92","59","680","5","31","11","98"
"Tyler Boyd","2021","94","67","828","5","37","12","115"
"Tyler Boyd","2020","110","79","841","4","43","10","112"
"Tyler Boyd","2019","147","90","1046","5","51","11","132"
"Tyler Boyd","2018","108","76","1028","7","54","13","144"
"Tyler Boyd","2017","32","22","225","2","14","10","34"
"Tyler Boyd","2016","81","54","603","1","33","11","69"
"Hunter Renfrow","2021","128","103","1038","9","51","10","155"
"Hunter Renfrow","2020","77","56","656","2","32","11","75"
"Hunter Renfrow","2019","71","49","605","4","31","12","84"
